ファイル名,寄付金額,達成率,目標金額,支援者数,期間,応援メッセージの件数,進捗情報,説明文字数,お礼品の種類,お礼品の最高額,お礼品の最低額,説明に使われた画像の枚数
805,12948938,64.7,20000000,93,42,18,0,108,1,30000,30000,22
2370,20368000,678.9,3000000,744,63,0,14,88,0,,,70
2189,2116000,105.8,2000000,140,90,20,2,299,0,,,28
496,40000,3.3,1200000,7,38,0,2,306,1,5000,5000,23
2519,14233000,142.3,10000000,346,67,0,2,147,23,350000,10000,22
1028,525000,52.5,1000000,40,92,17,1,317,9,10000,5000,30
2202,224000,22.4,1000000,18,87,0,0,105,14,100000,8000,22
1487,10645230,106.4,10000000,446,91,20,3,294,121,700000,7000,29
1017,5221000,104.4,5000000,196,00,0,2,229,0,,,22
1679,482000,48.2,1000000,29,37,0,0,412,8,30000,15000,13
2498,1130000,37.6,3000000,79,91,4,3,145,9,18000,10000,19
341,476000,31.7,1500000,56,92,17,0,0,2,50000,5000,28
1222,823000,82.3,1000000,30,90,0,1,359,0,,,22
1480,2625000,128,2050000,184,90,20,6,529,4,10000,5000,40
2661,323000,29.3,1100000,30,87,5,0,302,0,,,21
2668,1743000,96.8,1800000,28,61,6,0,339,12,100000,10000,38
1670,990000,99,1000000,61,91,0,5,537,0,,,20
1214,26794888,267.9,10000000,484,30,0,2,390,2,100000,5000,21
2465,6079000,173.6,3500000,305,90,20,20,284,12,150000,10000,74
348,1105000,36.8,3000000,63,74,0,0,923,4,100000,5000,21
1684,191000,19.1,1000000,17,77,0,0,543,2,20000,10000,12
384,222000,22.2,1000000,17,92,2,6,141,2,10000,10000,39
7,550000,55,1000000,53,70,0,0,9,0,,,15
2462,1898000,9.4,20000000,98,90,14,8,266,0,,,47
2496,111000,7.4,1500000,17,72,0,0,309,0,,,11
42,10623611,35.4,30000000,294,13,20,0,30,0,,,28
1849,1015000,101.4,1000000,86,91,3,4,218,4,11000,8000,28
2294,1311000,131.1,1000000,87,91,0,0,100,322,1067000,9000,26
2851,119000,7.9,1500000,19,91,0,4,89,0,,,26
324,202000,4,5000000,20,62,0,0,488,5,100000,5000,29
1278,2247000,224.7,1000000,61,90,8,0,153,19,150000,10000,19
2293,4430000,11,40000000,24,57,0,1,164,6,200000,10000,13
778,3743000,71.9,5200000,175,81,0,1,224,8,77000,10000,21
111,452000,22.6,2000000,26,22,0,0,146,0,,,11
2856,576000,9.6,6000000,23,91,0,0,180,738,60000000,1000,31
1878,3281610,109.3,3000000,129,90,0,0,197,101,237000,8000,15
588,468000,31.2,1500000,21,71,3,1,153,4,50000,10000,18
73,3050000,101.6,3000000,283,73,20,0,12,0,,,38
2097,1610000,107.3,1500000,150,91,20,15,62,0,,,50
1420,2259312,150.6,1500000,126,92,0,5,179,29,66000,7000,34
2251,2360000,118,2000000,78,90,0,2,217,196,1000000,5000,21
2407,15046400,100.3,15000000,322,90,0,0,335,1638,45000000,5000,33
87,1000000,100,1000000,1,45,0,0,563,0,,,23
2894,5015000,167.1,3000000,401,69,0,1,48,78,110000,5000,23
2438,50000,5,1000000,5,90,0,0,295,0,,,9
543,1136000,113.6,1000000,81,14,14,1,153,9,30000,5000,35
80,10689377,44.5,24000000,615,30,20,0,142,0,,,19
1285,7231000,103.3,7000000,89,41,0,5,471,8,200000,5000,36
2858,795617,26.5,3000000,65,78,20,2,315,0,,,27
2090,5000141,100,5000000,258,97,0,4,473,0,,,30
74,4428000,134.1,3300000,199,60,11,0,311,0,,,32
120,6320000,210.6,3000000,422,30,20,0,520,0,,,18
312,300430175,901.8,33311000,"20,281",83,20,6,0,0,,,37
776,720000,7.2,10000000,4,47,0,1,0,0,,,22
544,805500,28.3,2838000,51,32,10,0,153,1,10000,10000,23
1649,206000,15.6,1320000,12,90,0,0,215,0,,,9
715,194000,19.4,1000000,20,92,0,0,0,3,30000,10000,22
2038,725000,36.2,2000000,31,91,0,0,134,195,330000,5000,27
2804,1301000,65,2000000,36,90,0,0,274,18,500000,10000,29
2497,2743000,91.4,3000000,80,91,8,4,309,13,51000,6500,25
2007,2448000,40.8,6000000,79,90,0,0,401,26,145000,7000,20
518,1915000,63.8,3000000,13,37,0,1,0,145,1250000,6000,50
144,435000,4.3,10000000,23,91,11,0,329,0,,,23
712,1301000,13,10000000,59,12,10,0,257,20,530000,10000,14
349,4310000,107.7,4000000,139,92,20,2,372,9,1000000,5000,37
2232,832050,83.2,1000000,24,89,0,0,122,32,5000000,6000,15
516,1178000,117.8,1000000,39,31,4,2,159,2,44000,40000,19
724,4617072,461.7,1000000,499,90,20,1,407,3,10000,5000,22
340,1177000,117.7,1000000,53,86,18,1,209,13,100000,5000,34
186,400000,8,5000000,14,24,7,0,880,0,,,26
1678,60000,2,3000000,3,91,0,1,300,3,100000,10000,20
2499,1100500,110,1000000,56,91,16,3,159,23,50000,7000,22
2660,5809000,290.4,2000000,130,91,0,1,677,248,1447000,5000,17
2452,12766000,127.6,10000000,30,90,0,0,785,0,,,35
1011,4085000,204.2,2000000,25,90,0,4,240,14,300000,10000,34
26,6900000,138,5000000,149,90,0,0,0,0,,,19
1475,826000,55,1500000,103,77,17,1,0,0,,,17
2832,3436000,6.8,50000000,168,90,0,2,79,256,3000000,10000,35
347,196000,19.6,1000000,17,78,1,0,229,10,16000,8000,18
2658,2502000,100,2500000,82,61,20,1,917,0,,,26
1640,12561000,62.8,20000000,462,83,20,1,991,42,3000000,10000,28
2667,120000,12,1000000,7,87,4,0,474,0,,,16
1486,1454648,145.4,1000000,57,90,14,8,203,11,37000,5000,46
2031,3478000,13.9,25000000,115,90,6,0,197,73,340000,3000,28
976,331000,1.1,30000000,14,90,0,0,0,0,,,13
2091,5607500,32.9,17000000,143,76,18,1,256,7,55000,6000,26
75,3607001,120.2,3000000,253,12,20,0,146,0,,,28
1270,1407000,140.7,1000000,108,92,20,4,0,5,100000,10000,35
1284,54296000,108.5,50000000,"1,134",79,20,7,115,0,,,30
2859,19683000,65.6,30000000,509,91,14,2,244,842,2000000,6000,16
2257,377000,18.8,2000000,7,91,0,0,302,19,167000,1000,12
1419,5673000,189.1,3000000,62,92,0,2,0,5,100000,3000,23
2892,604000,60.4,1000000,43,90,0,2,181,33,100000,5000,23
313,90000,9,1000000,3,41,0,0,211,8,100000,10000,18
119,3250000,32.5,10000000,176,82,20,0,460,0,,,26
86,675000,8.4,8000000,18,23,7,0,146,0,,,44
589,1277000,116,1100000,48,53,12,2,153,10,21000,5000,33
1045,1276000,108.1,1180000,57,88,18,1,0,4,34000,12000,29
2096,757000,11.6,6500000,24,90,0,4,132,51,156000,10000,24
2430,20688000,275.8,7500000,241,45,0,1,0,682,800000,5000,45
2602,425000,42.5,1000000,22,90,0,0,758,0,,,17
2292,393000,39.3,1000000,28,29,0,0,78,2,20000,10000,9
1417,679000,67.9,1000000,19,91,2,0,135,19,41000,10000,19
1241,4000000,100,4000000,117,20,10,3,0,0,,,22
110,8343000,109.7,7600000,444,94,20,0,340,0,,,20
322,20445518,81.7,25000000,624,39,20,0,249,1,30000,30000,15
574,1610000,80.5,2000000,30,62,5,1,153,0,,,16
1074,1812313,181.2,1000000,77,90,20,1,371,0,,,21
1622,9320455,621.3,1500000,199,20,0,1,650,0,,,16
2295,9257011,108,8571000,449,90,20,4,309,21,100000,5000,57
128,5834000,58.3,10000000,90,62,0,0,142,0,,,16
587,558000,27.9,2000000,26,21,9,0,247,67,800000,10000,32
1877,1485000,148.5,1000000,87,91,20,2,0,4,50000,5000,35
573,530000,10.6,5000000,43,90,0,0,153,7,100000,3000,28
117,330500,13.2,2500000,24,82,11,0,647,0,,,13
1692,805000,8,10000000,36,90,13,1,68,77,300000,8000,17
950,181000,3.6,5000000,10,90,0,1,326,141,397000,3000,28
2814,55000,1.5,3500000,3,60,1,1,53,12,200000,8500,13
537,2505000,125.2,2000000,37,89,8,0,0,11,60000,10000,18
38,8765000,194.7,4500000,372,38,0,0,103,1,10000,10000,30
1659,37815000,75.6,50000000,45,61,0,1,31,7,3000000,18000,19
1037,4088074,81.7,5000000,84,90,10,2,402,79,1150000,12000,24
359,175100,8.7,2000000,10,94,0,1,121,6,30000,10000,20
957,17816852,44.5,40000000,203,23,20,1,484,21,500000,10000,19
702,1016000,101.6,1000000,16,41,1,1,89,0,,,31
2679,7144000,255.1,2800000,100,90,8,2,135,42,334000,7000,18
2813,834000,55.6,1500000,55,91,1,1,88,139,84000,1000,34
2684,6378001,318.9,2000000,161,74,0,2,228,258,1560000,1000,38
539,1338000,14.8,9000000,70,92,20,3,153,18,100000,10000,27
2214,2586000,258.6,1000000,123,89,3,2,140,15,85000,8000,29
1802,384000,38.4,1000000,35,90,2,1,76,0,,,13
1668,105234000,105.2,100000000,"3,263",50,20,1,150,54,165000,5500,24
1496,1154000,115.4,1000000,8,06,2,1,248,78,132000,10000,37
